origin_date,SKU,inventory_data_available,snapshot_date,days_since_snapshot,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,avg_weekly_demand,forecast_cum_8w,ip_h1,ip_h2,ip_h3,ip_h4,ip_h5,ip_h6,ip_h7,ip_h8,sb_h1,sb_h8,weeks_of_cover,days_of_supply,stock_weeks_of_cover,stock_days_of_supply,lead_time_demand,is_stockout_risk,earliest_stockout_week,estimated_stockout_date,is_safety_stock_breach,earliest_ss_breach_week,is_reorder_point_breach,earliest_rp_breach_week,stockout_score,excess_inventory_units,excess_weeks_of_cover,overstock_score,overstock_tier,action_tier,recommendation,excess_inventory_value,inventory_value_at_risk,capital_at_risk,valuation_basis_confirmed,arrival_timing_confirmed,on_order_policy,overstock_threshold_weeks,overstock_threshold_status,Product_Name,Category,Subcategory
2025-03-04,SKU001,True,2025-03-01,3,549.0,571.0,9.0,221.0,544.0,118.55449781601743,948.4359825281394,427.96459883172383,865.9645988317238,742.2906715245949,627.2906715245949,507.42734449822774,387.56401747186055,279.56401747186055,171.56401747186055,427.96459883172383,-399.43598252813945,9.447132083829562,66.12992458680694,4.630781708948597,32.41547196264018,159.0354011682762,False,,,True,8.0,True,1.0,0.0,0.0,0.0,0.0,HEALTHY,REORDER,REORDER: Projected inventory breaches Reorder Point (544 units) in week 1 (within lead time of 9 days). Place PO now.,,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,Product 001,Furniture,Chair
2025-03-04,SKU002,True,2025-03-01,3,230.0,341.0,10.0,96.0,322.0,95.01893512353124,760.1514809882499,142.0865637505196,384.0865637505196,296.37773959280474,200.37773959280474,102.6131293022774,4.848519011750113,-92.15148098824989,-189.1514809882499,142.0865637505196,-530.1514809882499,6.009328553910441,42.065299877373086,2.420570170576885,16.943991194038198,130.34200767805183,True,7.0,2025-04-22,True,6.0,True,1.0,0.0,0.0,0.0,0.0,HEALTHY,REORDER,REORDER: Projected inventory breaches Reorder Point (322 units) in week 1 (within lead time of 10 days). Place PO now.,,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,Product 002,Home Decor,Table
2025-03-04,SKU003,True,2025-03-01,3,443.0,138.0,3.0,98.0,136.0,47.20981869406886,377.67854955255086,535.9240619891972,488.9240619891972,441.1132366412968,391.1132366412968,345.21734354437297,299.32145044744914,251.32145044744914,203.32145044744914,397.9240619891972,65.32145044744914,12.306761942150674,86.14733359505472,9.38364120546084,65.68548843822589,19.31825914748691,False,,,False,,False,,0.0,105.32145044744914,2.2309225784144147,0.18127616256015341,HIGH,OVERSTOCK,OVERSTOCK (HIGH): 105 excess units (2.2 weeks of cover above safety buffer). Defer future orders or review promotional clearance.,,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,Product 003,Kitchen,Cushion
2025-03-04,SKU004,True,2025-03-01,3,376.0,176.0,13.0,114.0,374.0,35.88408417109827,287.0726733687862,340.34999508824507,481.34999508824507,445.19105191197553,407.19105191197553,365.0591892715947,322.9273266312138,293.9273266312138,264.9273266312138,340.34999508824507,88.92732663121382,15.382864374300832,107.68005062010582,10.478182979596218,73.34728085717353,65.65000491175492,False,,,False,,True,1.0,0.0,150.92732663121382,4.205968470912616,0.273419069984083,HIGH,REORDER,REORDER: Projected inventory breaches Reorder Point (374 units) in week 1 (within lead time of 13 days). Place PO now.,,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,Product 004,Lighting,Cookware
2025-03-04,SKU005,True,2025-03-01,3,320.0,349.0,4.0,183.0,279.0,142.72810820478907,1141.8248656383125,521.8556763538749,370.85567635387486,226.21822518199986,83.21822518199986,-63.803320228156394,-210.82486563831264,-341.82486563831264,-472.82486563831253,172.85567635387488,-821.8248656383125,4.687233709004997,32.810635963034976,2.242025092498653,15.694175647490571,84.08247065492863,True,5.0,2025-04-08,True,4.0,True,3.0,0.0,0.0,0.0,0.0,HEALTHY,MONITOR,MONITOR: Reorder Point breach projected in week 3. Review replenishment pipeline.,,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,Product 005,Storage,Lamp
2025-03-04,SKU006,True,2025-03-01,3,255.0,628.0,13.0,111.0,346.0,56.703028980671746,453.62423184537397,196.36702868319045,771.3670286831905,710.2780890164424,655.2780890164424,595.3269285855342,535.375768154626,482.37576815462603,429.37576815462603,196.36702868319045,-198.62423184537397,15.572360346058172,109.0065224224072,4.497114256222915,31.479799793560403,104.06154274538098,False,,,False,,True,1.0,0.0,318.37576815462603,5.614792963937608,0.36056145883876106,HIGH,REORDER,REORDER: Projected inventory breaches Reorder Point (346 units) in week 1 (within lead time of 13 days). Place PO now.,,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,Product 006,Furniture,Shelf
2025-03-04,SKU007,True,2025-03-01,3,167.0,363.0,5.0,141.0,237.0,200.10758450636243,1600.8606760508994,321.35462546277245,111.35462546277245,-89.68611550402443,-303.68611550402443,-497.27339577746193,-690.8606760508994,-880.8606760508994,-1070.8606760508994,-41.64537453722755,-1433.8606760508994,2.6485752716841606,18.540026901789126,0.8345510761721789,5.8418575332052525,149.03241038373397,True,3.0,2025-03-25,True,2.0,True,2.0,0.0,0.0,0.0,0.0,HEALTHY,MONITOR,MONITOR: Reorder Point breach projected in week 2. Review replenishment pipeline.,,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,Product 007,Home Decor,Cabinet
2025-03-04,SKU008,True,2025-03-01,3,694.0,59.0,4.0,184.0,290.0,132.79820814708464,1062.385665176677,614.4703681485182,466.4703681485182,333.30682444734634,194.30682444734634,72.46057963533462,-49.385665176677094,-179.3856651766771,-309.3856651766771,555.4703681485182,-368.3856651766771,5.670257230925829,39.691800616480805,5.225974127838679,36.58181889487075,79.15978962941817,True,6.0,2025-04-15,True,5.0,True,4.0,0.0,0.0,0.0,0.0,HEALTHY,MONITOR,MONITOR: Reorder Point breach projected in week 4. Review replenishment pipeline.,,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,Product 008,Kitchen,Rug
2025-03-04,SKU009,True,2025-03-01,3,333.0,87.0,3.0,51.0,89.0,93.41289064251258,747.3031251401006,331.2612822085322,238.2612822085322,147.19660020169624,57.19660020169624,-44.053262469202195,-145.30312514010063,-236.30312514010063,-327.30312514010063,244.2612822085322,-414.30312514010063,4.496167468013845,31.473172276096918,3.5648184924966917,24.953729447476842,38.030879053486196,True,5.0,2025-04-08,True,5.0,True,4.0,0.0,0.0,0.0,0.0,HEALTHY,MONITOR,MONITOR: Reorder Point breach projected in week 4. Review replenishment pipeline.,,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,Product 009,Lighting,Organizer
2025-03-04,SKU010,True,2025-03-01,3,43.0,6.0,12.0,10.0,46.0,150.4100465450145,1203.280372360116,-102.43558476245974,-237.4355847624597,-381.14072392261596,-518.140723922616,-667.210548141366,-816.280372360116,-985.280372360116,-1154.280372360116,-102.43558476245974,-1160.280372360116,0.325776110875249,2.280432776126743,0.28588515852317764,2.0011961096622435,246.14987047674543,True,1.0,2025-03-11,True,1.0,True,1.0,0.8170589156763729,0.0,0.0,0.0,HEALTHY,CRITICAL REORDER,CRITICAL REORDER: Stockout projected in week 1 (within lead time of 12 days). Expedite replenishment immediately.,,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,Product 010,Storage,Sofa
