SKU,avg_pct_diff_cost,avg_pct_diff_sell,better_basis
SKU001,51.84057228775426,0.3489158685512928,selling
SKU002,31.611608248151942,32.69744986382768,cost
SKU003,90.41313550708021,31.378327259006994,selling
SKU004,16.321768795056645,452.07019181256436,cost
SKU005,25.41295377151214,27.727001801564217,cost
SKU006,9.12244959555717,22.329469998792707,cost
SKU007,70.36387183022099,12.446267944582603,selling
SKU008,58.35696729060314,47.69557662354031,selling
SKU009,4.119322920489194,22.040779562180163,cost
SKU010,45.77205651666483,90.74890297823805,cost
SKU011,55.56348572182183,62.64477940777174,cost
SKU012,13.06251469835516,507.25787485993334,cost
SKU013,49.19194135412096,25.688805141839396,selling
SKU014,35.64526154575689,27.244269575080263,selling
SKU015,332.8986625719037,394.24531979727743,cost
SKU016,81.12220258395358,7.879813796022013,selling
SKU017,1.864588112392846e-15,26.465630156073313,cost
SKU018,112.55672372736667,108.75117940423236,selling
SKU019,17.89508632138114,48.168129949338464,cost
SKU020,20.953218253438138,29.638910050655856,cost
SKU021,2012.5903732169609,2411.3267765257606,cost
SKU022,39.78887903764676,14.910626199656095,selling
SKU023,34.73073083591657,62.78201019282299,cost
SKU024,315.4203820223034,32.65563246664616,selling
SKU025,65.82722378877212,196.283260702384,cost
SKU026,70.87933785852779,77.05130819552208,cost
SKU027,93.30127883486843,85.79537769478127,selling
SKU028,1198.719417396285,612.726045331806,selling
SKU029,58.150815257164616,240.81115892391912,cost
SKU030,177.02117758830457,357.264799833255,cost
SKU031,149.49610945017523,245.13750569228026,cost
SKU032,16.649879570834248,22.894460258375304,cost
SKU033,37.012501838505656,4.66245036034711,selling
SKU034,13.640190668635526,1.677417683479698,selling
SKU035,80.54795598021983,85.86986259207838,cost
SKU036,262.04179056711956,279.168722414092,cost
SKU037,30.91271021946416,51.342783468638864,cost
SKU038,44.574152879725,23.29725156186093,selling
SKU039,102.31299422078878,133.09867225487466,cost
SKU040,343.868447039629,110.42977974324846,selling
SKU041,19.963756427681208,82.21790919010776,cost
SKU042,40.93816356402169,18.52451708000907,selling
SKU043,30.19222783351864,134.3108598679187,cost
SKU044,50.97038203464289,442.8402354994333,cost
SKU045,99.88560869373929,322.1908134981741,cost
SKU046,59.63177497124891,51.41624199453466,selling
SKU047,44.25906375590884,29.528940871628276,selling
SKU048,90.73087097634715,61.66553663524809,selling
SKU049,60.974101026992365,1.1906225703751787,selling
SKU050,79.78839513781098,74.57977082859372,selling
