WAPE,MAE,RMSE,model,SKU,Category,Intermittency_Class
9.396471680594242,10.541666666666666,13.483593425591957,ma4,SKU029,Lighting,Smooth
9.74029815428301,17.151041666666668,21.558181934785996,ma4,SKU007,Home Decor,Smooth
10.01907293954456,18.057291666666668,22.237355957937087,ma4,SKU049,Lighting,Smooth
10.276198212835093,18.447916666666668,23.840070434739353,ma4,SKU018,Kitchen,Smooth
10.460080341451167,17.359375,20.576964264277017,ma4,SKU042,Home Decor,Smooth
10.594565301540605,14.255208333333334,17.747358958447872,ma4,SKU031,Furniture,Smooth
10.792393026941363,10.640625,13.701619429833833,ma4,SKU020,Storage,Smooth
10.950587441677442,20.291666666666668,25.040488047693213,ma4,SKU012,Home Decor,Smooth
10.992822966507177,19.145833333333332,23.98295835935731,ma4,SKU027,Home Decor,Smooth
11.047557840616967,17.90625,21.72412253694036,ma4,SKU043,Kitchen,Smooth
11.344794781190542,17.390625,22.76304571009776,ma4,SKU035,Storage,Smooth
11.811819595645412,7.911458333333333,9.80566375451793,ma4,SKU046,Furniture,Smooth
11.878314820374262,12.364583333333334,15.97328498879718,ma4,SKU001,Furniture,Smooth
12.035755478662052,21.739583333333332,27.586889247128486,ma4,SKU037,Home Decor,Smooth
12.496576905522593,14.260416666666666,17.85007002787384,ma4,SKU019,Lighting,Smooth
12.540377201208711,12.536458333333334,15.630332423421667,ma4,SKU013,Kitchen,Smooth
12.566844919786096,14.932291666666666,17.985816170897927,ma4,SKU005,Storage,Smooth
12.620932277924362,19.432291666666668,23.922182871413163,ma4,SKU014,Lighting,Smooth
12.669957161482584,14.171875,17.278810481820404,ma4,SKU040,Storage,Smooth
12.698854597518295,16.630208333333332,20.175015489461217,ma4,SKU033,Kitchen,Smooth
12.729071668244,15.411458333333334,19.402131540975937,ma4,SKU010,Storage,Smooth
12.76595744680851,5.125,6.656763477847174,ma4,SKU028,Kitchen,Smooth
12.77870680044593,9.552083333333334,12.080674994938542,ma4,SKU002,Home Decor,Smooth
12.820080862533692,7.927083333333333,9.855465911530176,ma4,SKU021,Furniture,Smooth
12.860530701192156,20.901041666666668,25.188352963224887,ma4,SKU026,Furniture,Smooth
13.039185115892318,13.067708333333334,16.570713372292296,ma4,SKU016,Furniture,Smooth
13.12338299580694,15.322916666666666,18.891549036540123,ma4,SKU008,Kitchen,Smooth
13.354780787071673,9.296875,11.40175425099138,ma4,SKU044,Lighting,Smooth
13.540753724802803,14.484375,17.712401493492255,ma4,SKU023,Kitchen,Smooth
13.553471408102125,10.838541666666666,12.669065014172645,ma4,SKU041,Furniture,Smooth
13.577608672990724,13.567708333333334,17.226584349003527,ma4,SKU017,Home Decor,Smooth
13.593346716375107,24.6875,30.151872523388437,ma4,SKU045,Storage,Smooth
14.034270813931832,7.848958333333333,10.029903206578483,ma4,SKU038,Kitchen,Smooth
14.108271108558299,20.46875,25.21811105138527,ma4,SKU034,Lighting,Smooth
14.131073667711599,15.026041666666666,19.011098732056492,ma4,SKU047,Home Decor,Smooth
14.458407321404179,11.026041666666666,13.463105449090612,ma4,SKU009,Lighting,Smooth
14.851872554499721,13.838541666666666,17.69165881613894,ma4,SKU024,Lighting,Smooth
15.11704222270838,7.197916666666667,8.882919002219934,ma4,SKU006,Furniture,Smooth
15.484165651644336,5.296875,6.675124842777599,ma4,SKU030,Storage,Smooth
15.608190178726359,9.369791666666666,11.60706501805402,ma4,SKU048,Kitchen,Smooth
15.725168894638495,11.395833333333334,13.67327076208664,ma4,SKU022,Home Decor,Smooth
15.745173745173746,10.619791666666666,13.299436078270386,ma4,SKU032,Home Decor,Smooth
16.97564521992003,4.864583333333333,5.865684103325033,ma4,SKU015,Storage,Smooth
17.0425667090216,5.588541666666667,6.992555565266059,ma4,SKU004,Lighting,Smooth
18.284170231929746,8.458333333333334,10.557382882766605,ma4,SKU050,Storage,Smooth
18.479068615308396,7.770833333333333,9.89317946870469,ma4,SKU003,Kitchen,Smooth
18.771069567882318,6.380208333333333,7.603795653049425,ma4,SKU036,Furniture,Smooth
21.98198198198198,5.083333333333333,6.401904013650939,ma4,SKU039,Lighting,Smooth
22.45011086474501,4.21875,5.091864426055876,ma4,SKU025,Storage,Smooth
23.29608938547486,4.34375,5.276717729801359,ma4,SKU011,Furniture,Smooth
10.831755797444393,19.072916666666668,23.029928444671004,ma8,SKU007,Home Decor,Smooth
10.923862581244197,12.255208333333334,15.210330919038766,ma8,SKU029,Lighting,Smooth
11.432608190756367,15.3828125,18.872619883047506,ma8,SKU031,Furniture,Smooth
11.592590451970871,20.893229166666668,25.182252348297467,ma8,SKU049,Lighting,Smooth
12.112684228849947,21.744791666666668,27.136662239487006,ma8,SKU018,Kitchen,Smooth
12.242656289229224,20.317708333333332,23.983609854787638,ma8,SKU042,Home Decor,Smooth
12.245813397129186,21.328125,27.156903281363533,ma8,SKU027,Home Decor,Smooth
12.354544943504413,22.893229166666668,27.458799629323444,ma8,SKU012,Home Decor,Smooth
12.441679626749611,8.333333333333334,10.365143410328034,ma8,SKU046,Furniture,Smooth
12.508033419023137,20.2734375,24.24514019173052,ma8,SKU043,Kitchen,Smooth
12.646592709984153,12.46875,15.534487841573664,ma8,SKU020,Storage,Smooth
12.683001665643904,15.0703125,18.815095335926415,ma8,SKU005,Storage,Smooth
12.712513935340022,9.502604166666666,12.506248438280762,ma8,SKU002,Home Decor,Smooth
12.7479815455594,23.026041666666668,29.092435299690308,ma8,SKU037,Home Decor,Smooth
12.83474002292383,12.830729166666666,15.876681341409691,ma8,SKU013,Kitchen,Smooth
12.965636058856397,14.502604166666666,17.893747453137554,ma8,SKU040,Storage,Smooth
13.117298037425835,14.96875,18.266580652930095,ma8,SKU019,Lighting,Smooth
13.176134819244359,20.197916666666668,25.73819005064912,ma8,SKU035,Storage,Smooth
13.226517903476905,5.309895833333333,6.732616504747615,ma8,SKU028,Kitchen,Smooth
13.30593329274068,20.486979166666668,25.022281737150458,ma8,SKU014,Lighting,Smooth
13.516961873311317,14.0703125,17.65423107926256,ma8,SKU001,Furniture,Smooth
13.78028457890014,22.395833333333332,26.976093776094913,ma8,SKU026,Furniture,Smooth
13.830336401961626,16.744791666666668,20.711246441647752,ma8,SKU010,Storage,Smooth
13.84226853324849,18.127604166666668,21.738323014896988,ma8,SKU033,Kitchen,Smooth
13.959639498432603,14.84375,19.126225450935163,ma8,SKU047,Home Decor,Smooth
14.198071866783524,15.1875,18.307557637944683,ma8,SKU023,Kitchen,Smooth
14.30256064690027,8.84375,10.726051327647715,ma8,SKU021,Furniture,Smooth
14.414755999643145,16.830729166666668,21.093078693021557,ma8,SKU008,Kitchen,Smooth
14.502437625466017,26.338541666666668,31.722326358313214,ma8,SKU045,Storage,Smooth
14.663236669784846,14.6953125,18.23069041250678,ma8,SKU016,Furniture,Smooth
14.91258024859992,11.372395833333334,13.882364787143915,ma8,SKU009,Lighting,Smooth
15.039847788627226,21.8203125,26.676275937931564,ma8,SKU034,Lighting,Smooth
15.06773479223655,12.049479166666666,13.705420156517153,ma8,SKU041,Furniture,Smooth
15.333682477929072,10.674479166666666,12.675230109679799,ma8,SKU044,Lighting,Smooth
15.344522047326176,15.333333333333334,18.6155596880674,ma8,SKU017,Home Decor,Smooth
15.362362971985382,5.255208333333333,6.412979189373168,ma8,SKU030,Storage,Smooth
15.542202347680266,14.481770833333334,18.174429725120216,ma8,SKU024,Lighting,Smooth
15.68262246228348,8.770833333333334,10.92999742680665,ma8,SKU038,Kitchen,Smooth
15.860861955808355,7.552083333333333,9.249436919798596,ma8,SKU006,Furniture,Smooth
16.7277562167601,12.122395833333334,14.189564827717586,ma8,SKU022,Home Decor,Smooth
16.731736942564638,10.044270833333334,12.186057606953941,ma8,SKU048,Kitchen,Smooth
16.79150579150579,11.325520833333334,14.23592140795015,ma8,SKU032,Home Decor,Smooth
17.67789072426938,5.796875,7.064988499636783,ma8,SKU004,Lighting,Smooth
17.711741185023627,5.075520833333333,6.095379055754723,ma8,SKU015,Storage,Smooth
17.94030220460738,7.544270833333333,9.671020930249988,ma8,SKU003,Kitchen,Smooth
18.112166717744408,6.15625,7.41294967719778,ma8,SKU036,Furniture,Smooth
18.678225624859266,8.640625,10.849227123010499,ma8,SKU050,Storage,Smooth
20.856430155210642,3.9192708333333335,4.845261860828576,ma8,SKU025,Storage,Smooth
21.955307262569832,4.09375,4.837462316821359,ma8,SKU011,Furniture,Smooth
21.95945945945946,5.078125,6.349930281769504,ma8,SKU039,Lighting,Smooth
8.345855970408046,15.041666666666666,18.713297411199342,naive,SKU049,Lighting,Smooth
9.82940698619009,17.645833333333332,22.56795294217001,naive,SKU018,Kitchen,Smooth
9.951965360936338,15.322916666666666,19.31779188554772,naive,SKU014,Lighting,Smooth
10.412634512657739,14.010416666666666,18.2679706043118,naive,SKU031,Furniture,Smooth
10.466507177033494,18.229166666666668,23.39916309044692,naive,SKU027,Home Decor,Smooth
10.565546616185518,18.604166666666668,22.847319317591726,naive,SKU007,Home Decor,Smooth
10.791619181204522,12.822916666666666,15.841335697051138,naive,SKU005,Storage,Smooth
10.833542555862415,17.979166666666668,21.33658829335187,naive,SKU042,Home Decor,Smooth
10.874035989717223,17.625,21.837944805620637,naive,SKU043,Kitchen,Smooth
11.072223989818644,14.5,18.006943105369107,naive,SKU033,Kitchen,Smooth
11.402042711234913,12.791666666666666,15.595138131268135,naive,SKU029,Lighting,Smooth
11.949286846275752,11.78125,14.982281201472626,naive,SKU020,Storage,Smooth
11.986952976352269,18.375,24.748316441056485,naive,SKU035,Storage,Smooth
11.994784876140809,13.416666666666666,16.684573713463585,naive,SKU040,Storage,Smooth
12.629757785467127,22.8125,27.52196092819938,naive,SKU037,Home Decor,Smooth
